Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Steven Adams,C,26.0,OKC,58.0,58.0,1564.0,262.0,443.0,0.591,1.0,3.0,0.333,261.0,440.0,0.593,0.593,108.0,183.0,0.59,196.0,347.0,543.0,141.0,50.0,65.0,86.0,111.0,633.0
Bam Adebayo,PF,22.0,MIA,65.0,65.0,2235.0,408.0,719.0,0.567,1.0,13.0,0.077,407.0,706.0,0.576,0.568,236.0,342.0,0.69,165.0,518.0,683.0,333.0,78.0,85.0,185.0,164.0,1053.0
LaMarcus Aldridge,C,34.0,SAS,53.0,53.0,1754.0,391.0,793.0,0.493,61.0,157.0,0.389,330.0,636.0,0.519,0.532,158.0,191.0,0.827,103.0,289.0,392.0,129.0,36.0,87.0,74.0,128.0,1001.0
Nickeil Alexander-Walker,SG,21.0,NOP,41.0,0.0,501.0,77.0,227.0,0.339,40.0,117.0,0.342,37.0,110.0,0.336,0.427,17.0,28.0,0.607,8.0,72.0,80.0,74.0,11.0,7.0,40.0,46.0,211.0
Grayson Allen,SG,24.0,MEM,30.0,0.0,498.0,79.0,176.0,0.449,33.0,91.0,0.363,46.0,85.0,0.541,0.543,30.0,35.0,0.857,5.0,61.0,66.0,43.0,6.0,1.0,23.0,36.0,221.0
Jarrett Allen,C,21.0,BRK,64.0,58.0,1647.0,267.0,413.0,0.646,0.0,5.0,0.0,267.0,408.0,0.654,0.646,147.0,237.0,0.62,195.0,410.0,605.0,85.0,37.0,85.0,72.0,144.0,681.0
Kadeem Allen,SG,27.0,NYK,10.0,0.0,117.0,19.0,44.0,0.432,5.0,16.0,0.313,14.0,28.0,0.5,0.489,7.0,11.0,0.636,2.0,7.0,9.0,21.0,5.0,2.0,8.0,7.0,50.0
Al-Farouq Aminu,PF,29.0,ORL,18.0,2.0,380.0,25.0,86.0,0.291,9.0,36.0,0.25,16.0,50.0,0.32,0.343,19.0,29.0,0.655,24.0,63.0,87.0,21.0,18.0,8.0,17.0,27.0,78.0
Justin Anderson,SF,26.0,BRK,3.0,0.0,17.0,1.0,6.0,0.167,0.0,3.0,0.0,1.0,3.0,0.333,0.167,1.0,2.0,0.5,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0
Kyle Anderson,PF,26.0,MEM,59.0,20.0,1140.0,138.0,280.0,0.493,16.0,62.0,0.258,122.0,218.0,0.56,0.521,43.0,66.0,0.652,54.0,203.0,257.0,132.0,46.0,31.0,55.0,85.0,335.0
Ryan Anderson,PF,31.0,HOU,2.0,0.0,14.0,2.0,7.0,0.286,1.0,5.0,0.2,1.0,2.0,0.5,0.357,0.0,0.0,0.0,0.0,7.0,7.0,2.0,1.0,0.0,1.0,1.0,5.0
Giannis Antetokounmpo,PF,25.0,MIL,57.0,57.0,1763.0,623.0,1139.0,0.547,83.0,271.0,0.306,540.0,868.0,0.622,0.583,361.0,570.0,0.633,130.0,653.0,783.0,329.0,59.0,58.0,209.0,173.0,1690.0
Kostas Antetokounmpo,PF,22.0,LAL,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Thanasis Antetokounmpo,SF,27.0,MIL,18.0,2.0,93.0,19.0,36.0,0.528,0.0,7.0,0.0,19.0,29.0,0.655,0.528,7.0,15.0,0.467,11.0,8.0,19.0,9.0,6.0,2.0,11.0,13.0,45.0
Carmelo Anthony,PF,35.0,POR,50.0,50.0,1623.0,289.0,679.0,0.426,72.0,194.0,0.371,217.0,485.0,0.447,0.479,113.0,134.0,0.843,61.0,252.0,313.0,79.0,40.0,23.0,87.0,142.0,763.0
OG Anunoby,SF,22.0,TOR,63.0,62.0,1897.0,267.0,527.0,0.507,82.0,215.0,0.381,185.0,312.0,0.593,0.584,59.0,86.0,0.686,74.0,267.0,341.0,99.0,88.0,42.0,75.0,155.0,675.0
Ryan Arcidiacono,PG,25.0,CHI,58.0,4.0,930.0,90.0,220.0,0.409,54.0,138.0,0.391,36.0,82.0,0.439,0.532,27.0,38.0,0.711,20.0,90.0,110.0,96.0,27.0,3.0,37.0,96.0,261.0
Trevor Ariza,SF,34.0,POR,21.0,21.0,702.0,78.0,159.0,0.491,34.0,85.0,0.4,44.0,74.0,0.595,0.597,41.0,47.0,0.872,13.0,87.0,100.0,41.0,34.0,8.0,28.0,48.0,231.0
D.J. Augustin,PG,32.0,ORL,49.0,6.0,1215.0,156.0,397.0,0.393,60.0,174.0,0.345,96.0,223.0,0.43,0.469,139.0,157.0,0.885,18.0,91.0,109.0,223.0,30.0,1.0,69.0,53.0,511.0
Deandre Ayton,C,21.0,PHO,30.0,25.0,996.0,255.0,465.0,0.548,0.0,3.0,0.0,255.0,462.0,0.552,0.548,60.0,78.0,0.769,123.0,237.0,360.0,57.0,22.0,51.0,71.0,97.0,570.0
Dwayne Bacon,SG,24.0,CHO,39.0,11.0,687.0,85.0,244.0,0.348,19.0,67.0,0.284,66.0,177.0,0.373,0.387,35.0,53.0,0.66,15.0,85.0,100.0,52.0,23.0,2.0,37.0,52.0,224.0
Marvin Bagley III,PF,20.0,SAC,13.0,6.0,334.0,78.0,167.0,0.467,4.0,22.0,0.182,74.0,145.0,0.51,0.479,25.0,31.0,0.806,29.0,68.0,97.0,10.0,6.0,12.0,18.0,43.0,185.0
Lonzo Ball,PG,22.0,NOP,56.0,47.0,1817.0,259.0,628.0,0.412,139.0,363.0,0.383,120.0,265.0,0.453,0.523,38.0,67.0,0.567,63.0,285.0,348.0,392.0,80.0,30.0,172.0,110.0,695.0
Mo Bamba,C,21.0,ORL,60.0,0.0,868.0,132.0,282.0,0.468,37.0,104.0,0.356,95.0,178.0,0.534,0.534,31.0,46.0,0.674,98.0,201.0,299.0,42.0,22.0,85.0,42.0,115.0,332.0
J.J. Barea,PG,35.0,DAL,26.0,4.0,391.0,74.0,179.0,0.413,29.0,76.0,0.382,45.0,103.0,0.437,0.494,17.0,18.0,0.944,10.0,38.0,48.0,99.0,4.0,2.0,35.0,25.0,194.0
Harrison Barnes,PF,27.0,SAC,64.0,64.0,2231.0,326.0,711.0,0.459,93.0,243.0,0.383,233.0,468.0,0.498,0.524,196.0,244.0,0.803,61.0,245.0,306.0,152.0,38.0,10.0,80.0,82.0,941.0
RJ Barrett,SG,19.0,NYK,56.0,55.0,1704.0,292.0,727.0,0.402,63.0,197.0,0.32,229.0,530.0,0.432,0.445,156.0,254.0,0.614,50.0,229.0,279.0,143.0,55.0,17.0,124.0,122.0,803.0
Will Barton,SF,29.0,DEN,58.0,58.0,1916.0,332.0,738.0,0.45,108.0,288.0,0.375,224.0,450.0,0.498,0.523,102.0,133.0,0.767,76.0,289.0,365.0,212.0,61.0,29.0,88.0,121.0,874.0
Keita Bates-Diop,SF,24.0,DEN,2.0,0.0,19.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,4.0,0.75,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,7.0
Nicolas Batum,SF,31.0,CHO,22.0,3.0,505.0,28.0,81.0,0.346,14.0,49.0,0.286,14.0,32.0,0.438,0.432,9.0,10.0,0.9,25.0,75.0,100.0,66.0,17.0,8.0,22.0,41.0,79.0
Aron Baynes,C,33.0,PHO,42.0,28.0,934.0,183.0,381.0,0.48,59.0,168.0,0.351,124.0,213.0,0.582,0.558,56.0,75.0,0.747,71.0,166.0,237.0,67.0,10.0,23.0,50.0,141.0,481.0
Kent Bazemore,SG,30.0,SAC,21.0,0.0,493.0,72.0,169.0,0.426,22.0,57.0,0.386,50.0,112.0,0.446,0.491,51.0,70.0,0.729,11.0,94.0,105.0,24.0,25.0,8.0,25.0,61.0,217.0
Darius Bazley,PF,19.0,OKC,53.0,8.0,909.0,88.0,230.0,0.383,30.0,100.0,0.3,58.0,130.0,0.446,0.448,32.0,47.0,0.681,21.0,175.0,196.0,29.0,20.0,35.0,40.0,45.0,238.0
Bradley Beal,SG,26.0,WAS,57.0,57.0,2053.0,593.0,1303.0,0.455,170.0,481.0,0.353,423.0,822.0,0.515,0.52,385.0,457.0,0.842,52.0,190.0,242.0,347.0,71.0,23.0,194.0,126.0,1741.0
Malik Beasley,SG,23.0,MIN,14.0,14.0,463.0,110.0,233.0,0.472,49.0,115.0,0.426,61.0,118.0,0.517,0.577,21.0,28.0,0.75,9.0,62.0,71.0,27.0,9.0,2.0,21.0,27.0,290.0
Marco Belinelli,SG,33.0,SAS,52.0,0.0,779.0,106.0,271.0,0.391,57.0,155.0,0.368,49.0,116.0,0.422,0.496,32.0,41.0,0.78,4.0,86.0,90.0,64.0,10.0,1.0,16.0,41.0,301.0
Jordan Bell,PF,25.0,MEM,2.0,0.0,21.0,3.0,7.0,0.429,2.0,3.0,0.667,1.0,4.0,0.25,0.571,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,3.0,2.0,10.0
DeAndre' Bembry,SG,25.0,ATL,43.0,4.0,915.0,104.0,228.0,0.456,15.0,65.0,0.231,89.0,163.0,0.546,0.489,26.0,48.0,0.542,34.0,118.0,152.0,81.0,55.0,19.0,60.0,84.0,249.0
Dragan Bender,SF,22.0,GSW,9.0,3.0,195.0,31.0,71.0,0.437,11.0,34.0,0.324,20.0,37.0,0.541,0.514,8.0,11.0,0.727,16.0,37.0,53.0,19.0,4.0,4.0,16.0,26.0,81.0
Dāvis Bertāns,PF,27.0,WAS,54.0,4.0,1583.0,265.0,610.0,0.434,200.0,472.0,0.424,65.0,138.0,0.471,0.598,104.0,122.0,0.852,35.0,210.0,245.0,92.0,37.0,33.0,59.0,139.0,834.0
Patrick Beverley,PG,31.0,LAC,48.0,48.0,1299.0,139.0,325.0,0.428,75.0,198.0,0.379,64.0,127.0,0.504,0.543,27.0,41.0,0.659,56.0,203.0,259.0,179.0,53.0,25.0,64.0,150.0,380.0
Khem Birch,C,27.0,ORL,40.0,24.0,777.0,56.0,115.0,0.487,0.0,1.0,0.0,56.0,114.0,0.491,0.487,41.0,67.0,0.612,70.0,110.0,180.0,35.0,16.0,21.0,23.0,73.0,153.0
Goga Bitadze,C,20.0,IND,49.0,2.0,410.0,61.0,129.0,0.473,6.0,36.0,0.167,55.0,93.0,0.591,0.496,24.0,33.0,0.727,22.0,74.0,96.0,21.0,6.0,32.0,25.0,57.0,152.0
Bismack Biyombo,C,27.0,CHO,53.0,29.0,1029.0,151.0,278.0,0.543,0.0,0.0,0.0,151.0,278.0,0.543,0.543,91.0,151.0,0.603,120.0,188.0,308.0,50.0,10.0,49.0,48.0,116.0,393.0
Nemanja Bjelica,PF,31.0,SAC,64.0,61.0,1821.0,287.0,604.0,0.475,125.0,295.0,0.424,162.0,309.0,0.524,0.579,60.0,73.0,0.822,107.0,305.0,412.0,179.0,54.0,33.0,92.0,193.0,759.0
Eric Bledsoe,PG,30.0,MIL,56.0,56.0,1524.0,319.0,662.0,0.482,70.0,201.0,0.348,249.0,461.0,0.54,0.535,157.0,193.0,0.813,41.0,218.0,259.0,302.0,53.0,25.0,140.0,120.0,865.0
Bogdan Bogdanović,SG,27.0,SAC,53.0,20.0,1510.0,277.0,639.0,0.433,137.0,380.0,0.361,140.0,259.0,0.541,0.541,76.0,105.0,0.724,17.0,154.0,171.0,169.0,54.0,14.0,89.0,115.0,767.0
Bojan Bogdanović,SF,30.0,UTA,63.0,63.0,2083.0,418.0,935.0,0.447,189.0,457.0,0.414,229.0,478.0,0.479,0.548,250.0,277.0,0.903,39.0,220.0,259.0,131.0,34.0,7.0,159.0,110.0,1275.0
Jonah Bolden,PF,24.0,PHO,3.0,0.0,33.0,2.0,8.0,0.25,0.0,3.0,0.0,2.0,5.0,0.4,0.25,2.0,2.0,1.0,3.0,5.0,8.0,0.0,2.0,2.0,0.0,6.0,6.0
Marques Bolden,C,21.0,CLE,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
Jordan Bone,PG,22.0,DET,10.0,0.0,53.0,5.0,20.0,0.25,2.0,10.0,0.2,3.0,10.0,0.3,0.3,0.0,0.0,0.0,0.0,4.0,4.0,8.0,1.0,0.0,2.0,6.0,12.0
Isaac Bonga,SF,20.0,WAS,58.0,41.0,1025.0,96.0,184.0,0.522,22.0,55.0,0.4,74.0,129.0,0.574,0.582,52.0,64.0,0.813,61.0,122.0,183.0,61.0,37.0,21.0,41.0,136.0,266.0
Devin Booker,SG,23.0,PHO,62.0,62.0,2241.0,544.0,1118.0,0.487,126.0,350.0,0.36,418.0,768.0,0.544,0.543,405.0,442.0,0.916,27.0,231.0,258.0,408.0,45.0,16.0,244.0,188.0,1619.0
Chris Boucher,PF,27.0,TOR,55.0,0.0,724.0,119.0,260.0,0.458,28.0,99.0,0.283,91.0,161.0,0.565,0.512,82.0,103.0,0.796,94.0,148.0,242.0,23.0,20.0,53.0,23.0,104.0,348.0
Brian Bowen,SG,21.0,IND,5.0,1.0,29.0,2.0,9.0,0.222,0.0,2.0,0.0,2.0,7.0,0.286,0.222,0.0,0.0,0.0,1.0,6.0,7.0,0.0,0.0,1.0,1.0,2.0,4.0
Ky Bowman,PG,22.0,GSW,45.0,12.0,1015.0,134.0,321.0,0.417,33.0,107.0,0.308,101.0,214.0,0.472,0.469,34.0,41.0,0.829,24.0,97.0,121.0,131.0,44.0,10.0,70.0,102.0,335.0
Avery Bradley,SG,29.0,LAL,49.0,44.0,1186.0,170.0,383.0,0.444,63.0,173.0,0.364,107.0,210.0,0.51,0.526,20.0,24.0,0.833,18.0,97.0,115.0,63.0,43.0,5.0,47.0,110.0,423.0
Tony Bradley,C,22.0,UTA,50.0,2.0,535.0,103.0,155.0,0.665,1.0,1.0,1.0,102.0,154.0,0.662,0.668,26.0,40.0,0.65,90.0,126.0,216.0,17.0,12.0,25.0,23.0,98.0,233.0
Jarrell Brantley,PF,23.0,UTA,5.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,2.0,2.0,2.0,0.0
Ignas Brazdeikis,SF,21.0,NYK,9.0,0.0,53.0,6.0,22.0,0.273,1.0,9.0,0.111,5.0,13.0,0.385,0.295,4.0,5.0,0.8,2.0,3.0,5.0,4.0,0.0,1.0,2.0,3.0,17.0
Mikal Bridges,SF,23.0,PHO,65.0,24.0,1772.0,210.0,407.0,0.516,56.0,159.0,0.352,154.0,248.0,0.621,0.585,89.0,105.0,0.848,59.0,200.0,259.0,115.0,93.0,39.0,65.0,142.0,565.0
Miles Bridges,SF,21.0,CHO,65.0,64.0,1995.0,319.0,753.0,0.424,99.0,300.0,0.33,220.0,453.0,0.486,0.489,106.0,131.0,0.809,88.0,274.0,362.0,114.0,40.0,48.0,95.0,132.0,843.0
Oshae Brissett,SF,21.0,TOR,19.0,0.0,135.0,13.0,36.0,0.361,3.0,15.0,0.2,10.0,21.0,0.476,0.403,8.0,10.0,0.8,9.0,17.0,26.0,7.0,4.0,1.0,7.0,18.0,37.0
Ryan Broekhoff,SG,29.0,DAL,17.0,1.0,180.0,22.0,59.0,0.373,20.0,51.0,0.392,2.0,8.0,0.25,0.542,7.0,8.0,0.875,5.0,38.0,43.0,11.0,5.0,4.0,6.0,15.0,71.0
Malcolm Brogdon,PG,27.0,IND,48.0,48.0,1472.0,289.0,659.0,0.439,61.0,195.0,0.313,228.0,464.0,0.491,0.485,145.0,162.0,0.895,40.0,186.0,226.0,343.0,33.0,8.0,115.0,88.0,784.0
Dillon Brooks,SG,24.0,MEM,65.0,65.0,1851.0,372.0,925.0,0.402,132.0,358.0,0.369,240.0,567.0,0.423,0.474,144.0,178.0,0.809,61.0,152.0,213.0,128.0,57.0,25.0,108.0,246.0,1020.0
Bruce Brown,SG,23.0,DET,58.0,43.0,1634.0,198.0,447.0,0.443,33.0,96.0,0.344,165.0,351.0,0.47,0.48,88.0,119.0,0.739,61.0,213.0,274.0,230.0,63.0,29.0,100.0,162.0,517.0
Charlie Brown,SG,22.0,ATL,10.0,0.0,40.0,6.0,19.0,0.316,3.0,9.0,0.333,3.0,10.0,0.3,0.395,5.0,5.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,20.0
Jaylen Brown,SF,23.0,BOS,50.0,50.0,1702.0,378.0,772.0,0.49,107.0,281.0,0.381,271.0,491.0,0.552,0.559,159.0,216.0,0.736,54.0,264.0,318.0,109.0,56.0,16.0,116.0,151.0,1022.0
Moses Brown,C,20.0,POR,9.0,0.0,33.0,4.0,10.0,0.4,0.0,0.0,0.0,4.0,10.0,0.4,0.4,3.0,8.0,0.375,3.0,11.0,14.0,1.0,1.0,1.0,3.0,7.0,11.0
Sterling Brown,SF,24.0,MIL,45.0,1.0,665.0,80.0,218.0,0.367,36.0,114.0,0.316,44.0,104.0,0.423,0.45,27.0,35.0,0.771,28.0,137.0,165.0,46.0,22.0,7.0,36.0,45.0,223.0
Troy Brown Jr.,SG,20.0,WAS,61.0,14.0,1519.0,229.0,506.0,0.453,50.0,145.0,0.345,179.0,361.0,0.496,0.502,86.0,114.0,0.754,64.0,261.0,325.0,142.0,76.0,6.0,65.0,110.0,594.0
Jalen Brunson,PG,23.0,DAL,57.0,16.0,1022.0,181.0,388.0,0.466,43.0,120.0,0.358,138.0,268.0,0.515,0.522,61.0,75.0,0.813,22.0,112.0,134.0,188.0,22.0,4.0,66.0,74.0,466.0
Thomas Bryant,C,22.0,WAS,38.0,28.0,901.0,184.0,307.0,0.599,22.0,54.0,0.407,162.0,253.0,0.64,0.635,70.0,95.0,0.737,75.0,185.0,260.0,71.0,14.0,33.0,48.0,85.0,460.0
Reggie Bullock,SG,28.0,NYK,29.0,19.0,684.0,90.0,224.0,0.402,37.0,111.0,0.333,53.0,113.0,0.469,0.484,17.0,21.0,0.81,13.0,55.0,68.0,42.0,25.0,3.0,19.0,56.0,234.0
Trey Burke,PG,27.0,PHI,25.0,0.0,329.0,59.0,127.0,0.465,16.0,38.0,0.421,43.0,89.0,0.483,0.528,13.0,18.0,0.722,15.0,20.0,35.0,53.0,7.0,1.0,12.0,21.0,147.0
Alec Burks,SG,28.0,PHI,11.0,0.0,222.0,39.0,100.0,0.39,16.0,49.0,0.327,23.0,51.0,0.451,0.47,24.0,27.0,0.889,6.0,30.0,36.0,20.0,8.0,0.0,9.0,13.0,118.0
Deonte Burton,SG,26.0,OKC,34.0,0.0,284.0,39.0,105.0,0.371,10.0,46.0,0.217,29.0,59.0,0.492,0.419,6.0,12.0,0.5,6.0,42.0,48.0,11.0,5.0,10.0,14.0,28.0,94.0
Jimmy Butler,SF,30.0,MIA,54.0,54.0,1851.0,328.0,722.0,0.454,29.0,117.0,0.248,299.0,605.0,0.494,0.474,408.0,490.0,0.833,98.0,261.0,359.0,331.0,92.0,29.0,118.0,74.0,1093.0
Bruno Caboclo,SF,24.0,HOU,5.0,0.0,28.0,4.0,8.0,0.5,0.0,3.0,0.0,4.0,5.0,0.8,0.5,2.0,2.0,1.0,5.0,4.0,9.0,2.0,2.0,4.0,2.0,2.0,10.0
Kentavious Caldwell-Pope,SG,26.0,LAL,63.0,20.0,1603.0,220.0,466.0,0.472,87.0,221.0,0.394,133.0,245.0,0.543,0.565,74.0,95.0,0.779,37.0,95.0,132.0,105.0,53.0,13.0,55.0,117.0,601.0
Vlatko Čančar,SF,22.0,DEN,14.0,0.0,45.0,6.0,15.0,0.4,1.0,6.0,0.167,5.0,9.0,0.556,0.433,4.0,4.0,1.0,5.0,5.0,10.0,3.0,1.0,1.0,3.0,7.0,17.0
Clint Capela,C,25.0,HOU,39.0,39.0,1279.0,244.0,388.0,0.629,0.0,0.0,0.0,244.0,388.0,0.629,0.629,55.0,104.0,0.529,168.0,369.0,537.0,48.0,33.0,72.0,63.0,102.0,543.0
DeMarre Carroll,SF,33.0,HOU,6.0,0.0,96.0,12.0,25.0,0.48,4.0,14.0,0.286,8.0,11.0,0.727,0.56,12.0,16.0,0.75,4.0,12.0,16.0,7.0,2.0,2.0,6.0,8.0,40.0
Jevon Carter,PG,24.0,PHO,50.0,2.0,754.0,82.0,205.0,0.4,46.0,117.0,0.393,36.0,88.0,0.409,0.512,21.0,25.0,0.84,25.0,73.0,98.0,65.0,38.0,13.0,31.0,76.0,231.0
Vince Carter,SF,43.0,ATL,60.0,0.0,876.0,107.0,304.0,0.352,61.0,202.0,0.302,46.0,102.0,0.451,0.452,23.0,29.0,0.793,18.0,106.0,124.0,48.0,23.0,25.0,33.0,90.0,298.0
Wendell Carter Jr.,C,20.0,CHI,43.0,43.0,1256.0,183.0,343.0,0.534,6.0,29.0,0.207,177.0,314.0,0.564,0.542,112.0,152.0,0.737,139.0,266.0,405.0,51.0,33.0,36.0,72.0,162.0,484.0
Michael Carter-Williams,SG,28.0,ORL,42.0,0.0,773.0,105.0,242.0,0.434,20.0,68.0,0.294,85.0,174.0,0.489,0.475,72.0,87.0,0.828,44.0,96.0,140.0,102.0,45.0,20.0,48.0,78.0,302.0
Alex Caruso,PG,25.0,LAL,58.0,1.0,1032.0,110.0,260.0,0.423,38.0,107.0,0.355,72.0,153.0,0.471,0.496,58.0,76.0,0.763,14.0,98.0,112.0,102.0,60.0,17.0,46.0,85.0,316.0
Willie Cauley-Stein,C,26.0,DAL,13.0,2.0,157.0,31.0,45.0,0.689,0.0,1.0,0.0,31.0,44.0,0.705,0.689,5.0,9.0,0.556,13.0,47.0,60.0,10.0,4.0,11.0,5.0,19.0,67.0
Tyson Chandler,C,37.0,HOU,26.0,5.0,219.0,14.0,18.0,0.778,0.0,0.0,0.0,14.0,18.0,0.778,0.778,6.0,13.0,0.462,25.0,41.0,66.0,6.0,6.0,8.0,8.0,32.0,34.0
Wilson Chandler,SF,32.0,BRK,35.0,3.0,734.0,74.0,183.0,0.404,37.0,121.0,0.306,37.0,62.0,0.597,0.505,20.0,23.0,0.87,11.0,134.0,145.0,39.0,16.0,12.0,34.0,79.0,205.0
Joe Chealey,PG,24.0,CHO,4.0,0.0,33.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,2.0,2.0
Zylan Cheatham,SF,24.0,NOP,3.0,0.0,31.0,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,0.0,0.0,0.0,1.0,5.0,6.0,2.0,0.0,1.0,3.0,5.0,4.0
Chris Chiozza,PG,24.0,BRK,11.0,0.0,126.0,22.0,45.0,0.489,11.0,25.0,0.44,11.0,20.0,0.55,0.611,2.0,2.0,1.0,6.0,14.0,20.0,20.0,5.0,0.0,8.0,11.0,57.0
Marquese Chriss,PF,22.0,GSW,59.0,21.0,1196.0,210.0,385.0,0.545,8.0,39.0,0.205,202.0,346.0,0.584,0.556,120.0,156.0,0.769,114.0,251.0,365.0,114.0,39.0,62.0,78.0,122.0,548.0
Gary Clark,PF,25.0,ORL,17.0,1.0,213.0,15.0,42.0,0.357,10.0,35.0,0.286,5.0,7.0,0.714,0.476,2.0,2.0,1.0,16.0,29.0,45.0,3.0,3.0,7.0,3.0,10.0,42.0
Brandon Clarke,PF,23.0,MEM,50.0,3.0,1086.0,254.0,408.0,0.623,21.0,52.0,0.404,233.0,356.0,0.654,0.648,73.0,93.0,0.785,78.0,214.0,292.0,72.0,26.0,42.0,46.0,82.0,602.0
Jordan Clarkson,SG,27.0,UTA,34.0,0.0,861.0,206.0,427.0,0.482,71.0,194.0,0.366,135.0,233.0,0.579,0.566,46.0,59.0,0.78,26.0,72.0,98.0,54.0,26.0,7.0,43.0,59.0,529.0
Nicolas Claxton,PF,20.0,BRK,15.0,0.0,187.0,27.0,48.0,0.563,1.0,7.0,0.143,26.0,41.0,0.634,0.573,11.0,21.0,0.524,19.0,25.0,44.0,16.0,1.0,8.0,9.0,14.0,66.0
Chris Clemons,SG,22.0,HOU,29.0,0.0,251.0,51.0,126.0,0.405,33.0,94.0,0.351,18.0,32.0,0.563,0.536,6.0,7.0,0.857,3.0,20.0,23.0,22.0,6.0,5.0,17.0,20.0,141.0
Antonius Cleveland,SG,25.0,DAL,6.0,0.0,22.0,2.0,6.0,0.333,0.0,1.0,0.0,2.0,5.0,0.4,0.333,1.0,2.0,0.5,0.0,3.0,3.0,0.0,1.0,1.0,1.0,2.0,5.0
Amir Coffey,SG,22.0,LAC,13.0,0.0,98.0,13.0,33.0,0.394,1.0,7.0,0.143,12.0,26.0,0.462,0.409,1.0,3.0,0.333,4.0,10.0,14.0,9.0,1.0,1.0,3.0,12.0,28.0
John Collins,PF,22.0,ATL,41.0,41.0,1363.0,353.0,605.0,0.583,59.0,147.0,0.401,294.0,458.0,0.642,0.632,120.0,150.0,0.8,116.0,300.0,416.0,60.0,31.0,66.0,75.0,138.0,885.0
Zach Collins,PF,22.0,POR,3.0,3.0,86.0,9.0,19.0,0.474,3.0,7.0,0.429,6.0,12.0,0.5,0.553,6.0,6.0,1.0,4.0,8.0,12.0,6.0,0.0,2.0,6.0,11.0,27.0
Mike Conley,PG,32.0,UTA,41.0,35.0,1171.0,197.0,486.0,0.405,80.0,213.0,0.376,117.0,273.0,0.429,0.488,93.0,117.0,0.795,27.0,106.0,133.0,178.0,31.0,4.0,76.0,92.0,567.0
Pat Connaughton,SG,27.0,MIL,61.0,1.0,1119.0,119.0,261.0,0.456,44.0,137.0,0.321,75.0,124.0,0.605,0.54,27.0,36.0,0.75,56.0,203.0,259.0,95.0,20.0,30.0,47.0,60.0,309.0
Quinn Cook,PG,26.0,LAL,38.0,0.0,409.0,76.0,173.0,0.439,25.0,66.0,0.379,51.0,107.0,0.477,0.512,6.0,9.0,0.667,7.0,33.0,40.0,40.0,11.0,1.0,25.0,23.0,183.0
Tyler Cook,PF,22.0,CLE,11.0,0.0,35.0,7.0,10.0,0.7,0.0,0.0,0.0,7.0,10.0,0.7,0.7,5.0,6.0,0.833,4.0,6.0,10.0,1.0,1.0,0.0,1.0,4.0,19.0
Robert Covington,PF,29.0,HOU,14.0,13.0,456.0,64.0,152.0,0.421,40.0,112.0,0.357,24.0,40.0,0.6,0.553,11.0,14.0,0.786,18.0,92.0,110.0,18.0,15.0,35.0,20.0,48.0,179.0
Allen Crabbe,SG,27.0,MIN,9.0,0.0,131.0,11.0,34.0,0.324,6.0,26.0,0.231,5.0,8.0,0.625,0.412,1.0,2.0,0.5,1.0,11.0,12.0,5.0,0.0,0.0,5.0,11.0,29.0
Torrey Craig,SF,29.0,DEN,50.0,19.0,869.0,96.0,208.0,0.462,36.0,109.0,0.33,60.0,99.0,0.606,0.548,20.0,31.0,0.645,48.0,108.0,156.0,34.0,18.0,32.0,22.0,112.0,248.0
Jae Crowder,SF,29.0,MIA,13.0,1.0,373.0,50.0,114.0,0.439,35.0,89.0,0.393,15.0,25.0,0.6,0.592,20.0,26.0,0.769,8.0,68.0,76.0,26.0,20.0,7.0,8.0,41.0,155.0
Jarrett Culver,SG,20.0,MIN,63.0,35.0,1506.0,230.0,569.0,0.404,66.0,221.0,0.299,164.0,348.0,0.471,0.462,54.0,117.0,0.462,70.0,142.0,212.0,110.0,57.0,38.0,81.0,125.0,580.0
Seth Curry,SG,29.0,DAL,59.0,20.0,1448.0,266.0,532.0,0.5,136.0,300.0,0.453,130.0,232.0,0.56,0.628,74.0,88.0,0.841,26.0,113.0,139.0,119.0,36.0,8.0,60.0,101.0,742.0
