Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Quinndary Weatherspoon,SG,23.0,SAS,3.0,0.0,15.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Russell Westbrook,PG,31.0,HOU,53.0,53.0,1905.0,568.0,1199.0,0.474,51.0,201.0,0.254,517.0,998.0,0.518,0.495,269.0,346.0,0.777,94.0,332.0,426.0,370.0,88.0,17.0,236.0,187.0,1456.0
Coby White,SG,19.0,CHI,65.0,1.0,1674.0,312.0,792.0,0.394,133.0,376.0,0.354,179.0,416.0,0.43,0.478,102.0,129.0,0.791,28.0,202.0,230.0,175.0,49.0,6.0,109.0,117.0,859.0
Derrick White,SG,25.0,SAS,61.0,13.0,1468.0,213.0,464.0,0.459,57.0,160.0,0.356,156.0,304.0,0.513,0.52,150.0,175.0,0.857,30.0,163.0,193.0,206.0,39.0,55.0,75.0,133.0,633.0
Hassan Whiteside,C,30.0,POR,61.0,61.0,1911.0,418.0,676.0,0.618,4.0,7.0,0.571,414.0,669.0,0.619,0.621,153.0,225.0,0.68,244.0,625.0,869.0,74.0,24.0,187.0,117.0,179.0,993.0
Andrew Wiggins,SG,24.0,GSW,12.0,12.0,403.0,86.0,188.0,0.457,20.0,59.0,0.339,66.0,129.0,0.512,0.511,41.0,61.0,0.672,18.0,37.0,55.0,43.0,16.0,17.0,25.0,26.0,233.0
Grant Williams,PF,21.0,BOS,62.0,5.0,970.0,80.0,192.0,0.417,21.0,85.0,0.247,59.0,107.0,0.551,0.471,37.0,51.0,0.725,58.0,107.0,165.0,62.0,28.0,33.0,46.0,149.0,218.0
Johnathan Williams,C,24.0,WAS,11.0,5.0,135.0,16.0,25.0,0.64,0.0,2.0,0.0,16.0,23.0,0.696,0.64,3.0,5.0,0.6,15.0,28.0,43.0,6.0,1.0,6.0,4.0,11.0,35.0
Kenrich Williams,PF,25.0,NOP,35.0,18.0,779.0,49.0,143.0,0.343,25.0,96.0,0.26,24.0,47.0,0.511,0.43,9.0,24.0,0.375,49.0,129.0,178.0,53.0,25.0,21.0,21.0,81.0,132.0
Lou Williams,SG,33.0,LAC,60.0,8.0,1757.0,367.0,883.0,0.416,107.0,295.0,0.363,260.0,588.0,0.442,0.476,278.0,322.0,0.863,28.0,158.0,186.0,344.0,40.0,10.0,172.0,77.0,1119.0
Marvin Williams,PF,33.0,MIL,11.0,0.0,203.0,16.0,39.0,0.41,8.0,27.0,0.296,8.0,12.0,0.667,0.513,4.0,4.0,1.0,5.0,34.0,39.0,15.0,9.0,4.0,3.0,23.0,44.0
Robert Williams,C,22.0,BOS,23.0,1.0,323.0,42.0,62.0,0.677,0.0,0.0,0.0,42.0,62.0,0.677,0.677,14.0,25.0,0.56,34.0,74.0,108.0,22.0,20.0,28.0,20.0,40.0,98.0
Nigel Williams-Goss,PG,25.0,UTA,9.0,0.0,28.0,1.0,7.0,0.143,0.0,2.0,0.0,1.0,5.0,0.2,0.143,2.0,2.0,1.0,2.0,3.0,5.0,5.0,1.0,1.0,2.0,2.0,4.0
Zion Williamson,PF,19.0,NOP,19.0,19.0,565.0,172.0,292.0,0.589,6.0,13.0,0.462,166.0,279.0,0.595,0.599,98.0,152.0,0.645,55.0,74.0,129.0,41.0,16.0,9.0,51.0,32.0,448.0
D.J. Wilson,PF,23.0,MIL,31.0,0.0,280.0,40.0,101.0,0.396,14.0,55.0,0.255,26.0,46.0,0.565,0.465,6.0,9.0,0.667,10.0,58.0,68.0,22.0,2.0,5.0,15.0,26.0,100.0
Justise Winslow,SF,23.0,MIA,11.0,5.0,352.0,50.0,129.0,0.388,6.0,27.0,0.222,44.0,102.0,0.431,0.411,18.0,27.0,0.667,16.0,57.0,73.0,44.0,7.0,5.0,24.0,38.0,124.0
Christian Wood,PF,24.0,DET,62.0,12.0,1325.0,288.0,508.0,0.567,54.0,140.0,0.386,234.0,368.0,0.636,0.62,180.0,242.0,0.744,104.0,286.0,390.0,60.0,34.0,54.0,84.0,98.0,810.0
Delon Wright,SG,27.0,DAL,65.0,5.0,1412.0,179.0,381.0,0.47,45.0,117.0,0.385,134.0,264.0,0.508,0.529,71.0,90.0,0.789,66.0,193.0,259.0,220.0,76.0,21.0,68.0,83.0,474.0
Justin Wright-Foreman,PG,22.0,UTA,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thaddeus Young,PF,31.0,CHI,64.0,16.0,1591.0,269.0,601.0,0.448,79.0,222.0,0.356,190.0,379.0,0.501,0.513,42.0,72.0,0.583,94.0,221.0,315.0,117.0,92.0,23.0,102.0,134.0,659.0
Trae Young,PG,21.0,ATL,60.0,60.0,2120.0,546.0,1249.0,0.437,205.0,568.0,0.361,341.0,681.0,0.501,0.519,481.0,559.0,0.86,32.0,223.0,255.0,560.0,65.0,8.0,289.0,104.0,1778.0
Cody Zeller,C,27.0,CHO,58.0,39.0,1341.0,251.0,479.0,0.524,18.0,75.0,0.24,233.0,404.0,0.577,0.543,122.0,179.0,0.682,160.0,251.0,411.0,88.0,40.0,25.0,75.0,140.0,642.0
Ante Žižić,C,23.0,CLE,22.0,0.0,221.0,41.0,72.0,0.569,0.0,0.0,0.0,41.0,72.0,0.569,0.569,14.0,19.0,0.737,18.0,48.0,66.0,6.0,7.0,5.0,10.0,27.0,96.0
Ivica Zubac,C,22.0,LAC,64.0,62.0,1156.0,202.0,336.0,0.601,0.0,2.0,0.0,202.0,334.0,0.605,0.601,107.0,141.0,0.759,166.0,295.0,461.0,69.0,13.0,60.0,53.0,146.0,511.0
