Rk,Player,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
42,Khem Birch\birchkh01,13.7,9.3,0.7,0.8,1.5,.092,-3.3,0.3,-3.0,-0.2
43,Goga Bitadze\bitadgo01,14.8,18.1,-0.1,0.7,0.6,.069,-4.0,1.5,-2.5,0.0
44,Bismack Biyombo\biyombi01,12.2,16.8,1.5,0.9,2.4,.113,-1.8,-0.7,-2.5,-0.1
45,Nemanja Bjelica\bjeline01,12.6,17.4,3.0,1.7,4.7,.125,1.2,0.4,1.6,1.7
46,Eric Bledsoe\bledser01,15.8,24.0,2.4,2.9,5.3,.168,1.1,1.1,2.2,1.6
47,Bogdan Bogdanović\bogdabo01,11.5,22.3,1.2,1.1,2.4,.075,0.7,-0.3,0.4,0.9
48,Bojan Bogdanović\bogdabo02,13.1,25.6,2.7,1.6,4.3,.099,1.6,-1.5,0.2,1.1
49,Jonah Bolden\boldejo01,13.6,13.4,-0.1,0.1,0.0,-0.008,-8.8,-0.1,-8.9,-0.1
49,Jonah Bolden\boldejo01,34.0,18.1,-0.1,0.0,0.0,-0.147,-13.9,-0.7,-14.7,0.0
49,Jonah Bolden\boldejo01,0.0,11.4,0.0,0.1,0.0,.051,-6.6,0.1,-6.5,0.0
50,Marques Bolden\boldema01,,0.0,0.0,0.0,0.0,.282,-5.8,11.3,5.5,0.0
51,Jordan Bone\bonejo01,9.1,18.1,-0.1,0.0,-0.1,-0.118,-9.0,-2.9,-11.9,-0.1
52,Isaac Bonga\bongais01,16.2,10.3,1.3,0.4,1.7,.081,-2.4,0.0,-2.4,-0.1
53,Devin Booker\bookede01,15.7,29.5,4.8,1.2,6.0,.129,3.1,-1.4,1.7,2.1
54,Chris Boucher\bouchch01,7.0,19.4,1.7,1.5,3.2,.214,0.4,1.0,1.4,0.6
55,Brian Bowen\bowenbr02,10.0,15.2,-0.1,0.0,-0.1,-0.154,-9.7,-2.1,-11.8,-0.1
56,Ky Bowman\bowmaky01,17.1,17.2,-0.6,0.6,-0.1,-0.003,-4.0,-0.3,-4.3,-0.6
57,Avery Bradley\bradlav01,10.7,15.7,0.2,1.4,1.6,.066,-2.9,0.5,-2.4,-0.1
58,Tony Bradley\bradlto01,11.8,16.1,1.8,0.9,2.7,.242,0.9,0.4,1.3,0.4
59,Jarrell Brantley\brantja01,100.0,6.8,0.0,0.0,0.0,-0.053,-8.6,5.9,-2.7,0.0
60,Ignas Brazdeikis\brazdig01,7.6,21.0,-0.1,0.0,-0.1,-0.109,-5.0,-3.9,-8.9,-0.1
61,Mikal Bridges\bridgmi01,12.5,12.4,2.2,1.9,4.1,.111,-0.7,1.5,0.8,1.3
62,Miles Bridges\bridgmi02,10.5,20.0,0.3,1.3,1.6,.038,-1.5,-1.0,-2.5,-0.3
63,Oshae Brissett\brissos01,14.8,15.0,-0.1,0.2,0.1,.042,-5.7,0.3,-5.4,-0.1
64,Ryan Broekhoff\broekry01,8.8,16.3,0.2,0.2,0.4,.116,0.4,0.4,0.9,0.1
65,Malcolm Brogdon\brogdma01,13.6,25.2,2.0,1.4,3.5,.113,2.2,-0.5,1.7,1.4
66,Dillon Brooks\brookdi01,9.7,25.0,-0.3,1.3,1.0,.025,-2.8,-1.5,-4.3,-1.1
67,Bruce Brown\brownbr01,16.7,16.0,0.8,1.4,2.1,.062,-2.0,0.8,-1.2,0.3
68,Charlie Brown\brownch02,12.4,25.1,0.0,0.0,0.0,-0.028,-1.1,-1.4,-2.5,0.0
69,Jaylen Brown\brownja02,11.8,24.7,2.1,2.3,4.5,.126,1.0,-0.1,0.9,1.2
70,Moses Brown\brownmo01,18.2,21.2,-0.1,0.0,0.0,-0.062,-8.2,-1.7,-9.9,-0.1
71,Sterling Brown\brownst02,13.4,16.7,-0.4,1.3,1.0,.071,-3.1,1.0,-2.0,0.0
72,Troy Brown Jr.\browntr01,10.5,17.0,1.2,0.9,2.2,.069,-0.8,-0.4,-1.3,0.3
73,Jalen Brunson\brunsja01,13.6,20.4,1.6,0.7,2.3,.108,0.1,-0.9,-0.8,0.3
74,Thomas Bryant\bryanth01,12.1,18.3,2.4,0.5,2.9,.153,2.1,-1.2,0.9,0.7
